"g0.bTRUE","Model","Subtype"
"1",-0.00407812071972051,"Model A","Spread.one"
"1",-0.00863570638688703,"Model A","Spread.one"
"1",-0.00546447664305576,"Model A","Spread.one"
"1",-0.00677627000609879,"Model A","Spread.one"
"1",-0.00703893623708545,"Model A","Spread.one"
"1",-0.00506568914657375,"Model A","Spread.one"
"1",-0.00663722549754756,"Model A","Spread.one"
"1",-0.00474630800698336,"Model A","Spread.one"
"1",-0.00684465207766933,"Model A","Spread.one"
"1",-0.00839590083342507,"Model A","Spread.one"
"1",-0.00589685841714662,"Model A","Spread.one"
"1",-0.00789989067646565,"Model A","Spread.one"
"1",-0.00670740260109867,"Model A","Spread.one"
"1",-0.00654575939003101,"Model A","Spread.one"
"1",-0.00464557684548959,"Model A","Spread.one"
"1",-0.00526884125014314,"Model A","Spread.one"
"1",-0.00417054390843987,"Model A","Spread.one"
"1",-0.00539645426958033,"Model A","Spread.one"
"1",-0.00621832175327193,"Model A","Spread.one"
"1",-0.00634321666015285,"Model A","Spread.one"
"1",-0.00830617333048446,"Model A","Spread.one"
"1",-0.0060422290058707,"Model A","Spread.one"
"1",-0.00534186920203174,"Model A","Spread.one"
"1",-0.00406449550130868,"Model A","Spread.one"
"1",-0.00824478372081853,"Model A","Spread.one"
"1",-0.00460222852817554,"Model A","Spread.one"
"1",-0.00462530739838453,"Model A","Spread.one"
"1",-0.0083952245755172,"Model A","Spread.one"
"1",-0.0057108570640551,"Model A","Spread.one"
"1",-0.00816963142434451,"Model A","Spread.one"
"1",-0.00827342224103302,"Model A","Spread.one"
"1",-0.00781627115553789,"Model A","Spread.one"
"1",-0.0066575326080908,"Model A","Spread.one"
"1",-0.00462953650725017,"Model A","Spread.one"
"1",-0.0031842882389027,"Model A","Spread.one"
"1",-0.00466872035678411,"Model A","Spread.one"
"1",-0.00408914399687951,"Model A","Spread.one"
"1",-0.00823919057586708,"Model A","Spread.two"
"1",-0.0063126500542877,"Model A","Spread.two"
"1",-0.00375625847050864,"Model A","Spread.two"
"1",-0.00819224677521844,"Model A","Spread.two"
"1",-0.00629153847258006,"Model A","Spread.two"
"1",-0.00496043811553792,"Model A","Spread.two"
"1",-0.00621851311953731,"Model A","Spread.two"
"1",-0.00628982076566302,"Model A","Spread.two"
"1",-0.00495556885611929,"Model A","Spread.two"
"1",-0.00621898990954935,"Model A","Spread.two"
"1",-0.00629227986044874,"Model A","Spread.two"
"1",-0.00629472912061028,"Model A","Spread.two"
"1",-0.00793175318210371,"Model A","Spread.two"
"1",-0.00455517896026079,"Model A","Spread.two"
"1",-0.00653653200917621,"Model A","Spread.two"
"1",-0.00656552442682377,"Model A","Spread.two"
"1",-0.00614297570692308,"Model A","Spread.two"
"1",-0.00562278279173079,"Model A","Spread.two"
"1",-0.00640255994727809,"Model A","Spread.two"
"1",-0.00611867241512622,"Model A","Spread.two"
"1",-0.00630516103879445,"Model A","Spread.two"
"1",-0.00437793034611394,"Model A","Spread.two"
"1",-0.00710814526326775,"Model A","Spread.two"
"1",-0.00633334149033552,"Model A","Spread.two"
"1",-0.00541137650063801,"Model A","Spread.two"
"1",-0.00635730275694526,"Model A","Spread.two"
"1",-0.0066609681266977,"Model A","Spread.two"
"1",-0.00690130470108965,"Model A","Spread.two"
